Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
94695112,4/28/2020 17:35,4/28/2020 18:01,70569,1545,1049,S 12th St & E Carson St,1045,S 27th St & Sidney St. (Southside Works),Customer
94695179,4/28/2020 17:44,4/28/2020 19:02,70621,4700,1028,Penn Ave & Putnam St (Bakery Square),1028,Penn Ave & Putnam St (Bakery Square),Customer
94695181,4/28/2020 17:44,4/28/2020 19:34,70437,6588,1028,Penn Ave & Putnam St (Bakery Square),1028,Penn Ave & Putnam St (Bakery Square),Customer
94695213,4/28/2020 17:50,4/28/2020 18:28,70383,2265,1033,Ivy St & Walnut St   ,1033,Ivy St & Walnut St   ,Subscriber
94695242,4/28/2020 17:55,4/28/2020 18:14,70528,1174,49611,24th St & Smallman St,1072,Glasshouse,Customer
94695264,4/28/2020 17:58,4/28/2020 18:38,70520,2421,49301,Centre Ave & N Craig St,1084,Hot Metal St & Tunnel Blvd,Subscriber
94695322,4/28/2020 18:08,4/28/2020 19:20,70562,4331,1069,Beacon St & Murray Ave,1069,Beacon St & Murray Ave,Customer
94695341,4/28/2020 18:11,4/28/2020 19:20,70551,4129,1069,Beacon St & Murray Ave,1069,Beacon St & Murray Ave,Customer
94695378,4/28/2020 18:18,4/28/2020 19:08,70399,3044,1074,South Side Trail & S 4th St,1072,Glasshouse,Subscriber
94695415,4/28/2020 18:24,4/28/2020 19:09,70526,2652,1049,S 12th St & E Carson St,1072,Glasshouse,Customer
94695424,4/28/2020 18:27,4/28/2020 18:46,70596,1145,49801,Microsoft,1059,Burns White Center at 3 Crossings,Subscriber
94695469,4/28/2020 18:35,4/28/2020 19:12,70242,2252,1070,Hobart St & Wightman St,1070,Hobart St & Wightman St,Customer
94695487,4/28/2020 18:37,4/28/2020 19:33,70244,3355,1084,Hot Metal St & Tunnel Blvd,1084,Hot Metal St & Tunnel Blvd,Subscriber
94695524,4/28/2020 18:43,4/28/2020 18:54,70327,647,1054,Smithfield St & Fourth Ave,1054,Smithfield St & Fourth Ave,Customer
94695556,4/28/2020 18:50,4/28/2020 18:57,70530,442,49641,11th St & Penn Ave,1003,First Ave & Smithfield St,Subscriber
94695598,4/28/2020 19:01,4/28/2020 19:18,70511,1025,1094,O'Hara St & Desoto St,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
94695602,4/28/2020 19:02,4/28/2020 19:07,70438,321,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
94695648,4/28/2020 19:15,4/28/2020 19:57,70187,2547,1000,Liberty Ave & Stanwix St,,BIKE 70187,Customer
94695661,4/28/2020 19:20,4/28/2020 20:43,70631,5015,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Customer
94695665,4/28/2020 19:20,4/28/2020 20:44,70654,5019,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Customer
94695710,4/28/2020 19:31,4/28/2020 20:19,70253,2918,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
94695714,4/28/2020 19:31,4/28/2020 20:33,70613,3692,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
94695718,4/28/2020 19:33,4/28/2020 20:21,70333,2883,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
94695722,4/28/2020 19:33,4/28/2020 19:59,70520,1547,1084,Hot Metal St & Tunnel Blvd,49301,Centre Ave & N Craig St,Customer
94695723,4/28/2020 19:33,4/28/2020 20:17,70143,2654,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
94695749,4/28/2020 19:41,4/28/2020 20:15,70655,2027,49801,Microsoft,49801,Microsoft,Customer
94695792,4/28/2020 19:55,4/28/2020 20:06,70306,678,1053,Hamilton Ave & Zodiac Way,1027,Shady Ave & Ellsworth Ave,Subscriber
94695838,4/28/2020 20:17,4/28/2020 20:23,70687,377,49391,E Liberty Blvd & Negley Ave,1027,Shady Ave & Ellsworth Ave,Subscriber
94695841,4/28/2020 20:17,4/28/2020 20:25,70310,486,1038,Boulevard of the Allies & Parkview Ave,1099,Forbes Ave & S Craig St,Subscriber
94695852,4/28/2020 20:20,4/28/2020 22:03,70579,6201,1059,Burns White Center at 3 Crossings,,BIKE 70579,Customer
94695853,4/28/2020 20:20,4/28/2020 22:03,70596,6191,1059,Burns White Center at 3 Crossings,1059,Burns White Center at 3 Crossings,Customer
94695856,4/28/2020 20:21,4/28/2020 22:03,70018,6080,1059,Burns White Center at 3 Crossings,1059,Burns White Center at 3 Crossings,Customer
94695857,4/28/2020 20:22,4/28/2020 22:03,70113,6068,1059,Burns White Center at 3 Crossings,1059,Burns White Center at 3 Crossings,Customer
94695865,4/28/2020 20:28,4/28/2020 20:35,70310,476,1099,Forbes Ave & S Craig St,1038,Boulevard of the Allies & Parkview Ave,Subscriber
94695900,4/28/2020 20:47,4/28/2020 20:53,70687,366,1027,Shady Ave & Ellsworth Ave,49391,E Liberty Blvd & Negley Ave,Subscriber
